Search Parameters,Year,Mo,Dy,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description
"[""1950 <= Year >= 2021""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1950,8,28,,,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,1,P,6,1,,,,,,,,,6,1,,,,,,,,
,1950,9,15,,,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1332,Stratovolcano,3,P,68,2,,,,,,,,,68,2,,,,,,,,
,1950,9,23,,,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,2,T,1,1,,,1,1,,,,1,1,1,,,1,1,,,,1
,1951,1,21,,,Lamington,New Guinea,Papua New Guinea,-8.95,148.15,1680,Stratovolcano,4,P,2942,4,,,,2,,,,,2942,4,,,,2,,,,
,1951,8,3,3383,3974,Cosiguina,Nicaragua,Nicaragua,12.98,-87.57,872,Stratovolcano,,,,,,,,,,,,,,,,,,,,3,,2
,1951,8,31,,,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,3,,7,1,,,,,,,,,7,1,,,,,,,,
,1951,11,5,,,Hakone,Honshu-Japan,Japan,35.22,139.02,1438,Complex volcano,,G,2,1,,,,,,,,,2,1,,,,,,,,
,1951,12,4,,,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1332,Stratovolcano,3,P,500,3,1500,4,,,,,,,500,3,1500,4,,,,,,
,1951,,,1816,,Kavachi,Solomon Is-SW Pacifi,Solomon Is.,-9.02,157.95,-20,Submarine volcano,2,,,,,,,,,,,,,,,,,,,,,
,1952,3,27,,,Hakone,Honshu-Japan,Japan,35.22,139.02,1438,Complex volcano,,G,1,1,,,,,,,,,1,1,,,,,,,,
,1952,9,16,1824,,Myojun Knoll,Izu Is-Japan,Japan,32.1,139.85,360,Submarine volcano,2,,,,,,,,,,,,,,,,,,,,,
,1952,9,23,1825,,Myojun Knoll,Izu Is-Japan,Japan,32.1,139.85,360,Submarine volcano,2,,,,,,,,,,,,,,,,,,,,,
,1952,9,24,1826,,Myojun Knoll,Izu Is-Japan,Japan,32.1,139.85,360,Submarine volcano,2,P,31,1,,,,,,1,,,31,1,,,,,,1,,
,1952,9,26,1827,,Myojun Knoll,Izu Is-Japan,Japan,32.1,139.85,360,Submarine volcano,2,,,,,,,,,,,,,,,,,,,,,
,1952,,,,,Ambalatungan Group,Luzon-Philippines,Philippines,17.32,121.1,2329,Compound volcano,1,,12,1,,,,,,,,,12,1,,,,,,,,
,1953,3,11,1833,,Myojun Knoll,Izu Is-Japan,Japan,32.1,139.85,360,Submarine volcano,2,,,,,,,,,,,,,,,,,,,,,
,1953,3,23,,,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,3,P,64,2,,,57,2,,2,144,3,64,2,,,57,2,,2,144,3
,1953,3,25,5566,,Myojun Knoll,Izu Is-Japan,Japan,32.1,139.85,360,Submarine volcano,2,,,,,,,,,,,,,,,,,,,,,
,1953,4,27,,,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,2,T,6,1,,,,,,,,,6,1,,,,,,,,
,1953,6,27,1838,,St. Andrew Strait,Admiralty Is-SW Paci,Papua New Guinea,-2.38,147.35,270,Complex volcano,0,,,,,,,,,,,,,,,,,,,1,,
,1953,6,,,,Sirung,Lesser Sunda Is,Indonesia,-8.51,124.148,862,Complex volcano,0,,5,1,,,1,1,,,,,5,1,,,1,1,,,,
,1953,7,26,,,Hakone,Honshu-Japan,Japan,35.22,139.02,1438,Complex volcano,,A,10,1,,,,,,,,,10,1,,,,,,,,
,1953,10,5,,,Oshima,Izu Is-Japan,Japan,34.73,139.38,758,Stratovolcano,1,,1,1,,,,,,,,,1,1,,,,,,,,
,1953,12,24,,,Ruapehu,New Zealand,New Zealand,-39.28,175.57,2797,Stratovolcano,,m,151,3,,,,,,,,,151,3,,,,,,,,
,1954,2,,3395,,Stromboli,Italy,Italy,38.789,15.213,926,Stratovolcano,,,,,,,,,,,,,,,,,,,,,,
,1954,7,21,,,Tate-yama,Honshu-Japan,Japan,36.57,137.6,2621,Stratovolcano,,G,1,1,,,,,,,,,1,1,,,,,,,,
,1954,8,3,,,Bam,New Guinea-NE of,Papua New Guinea,-3.6,144.85,685,Stratovolcano,2,I,,,,,,2,,,,,25,1,,,,2,,,,
,1954,,,,,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1332,Stratovolcano,,m,2,1,,,,,,,,,2,1,,,,,,,,
,1955,7,26,,,Carran-Los Venados,Chile-C,Chile,-40.35,-72.07,1114,Pyroclastic cone,4,G,2,1,,,,,,,,,2,1,,,,,,,,
,1955,10,13,,,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,3,,,1,,,,,,,,,,1,,,,,,,,
,1956,3,30,1856,,Bezymianny,Kamchatka,Russia,55.978,160.587,2882,Stratovolcano,5,,,,,,,,,,,,,,,,,,,,,
,1957,3,11,,4116,Vsevidof,Aleutian Is,United States,53.13,-168.68,2149,Stratovolcano,2,,,,,,,,,,,,,,,,,,,,,
,1957,7,,,,Unzen,Kyushu-Japan,Japan,32.75,130.3,1500,Complex volcano,,m,13,1,,,,,,,,,13,1,,,,,,,,
,1957,8,,,,Oshima,Izu Is-Japan,Japan,34.73,139.38,758,Stratovolcano,2,T,1,1,,,53,2,,,,,1,1,,,53,2,,,,
,1957,10,,,,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,2,T,12,1,,,,,,,,,12,1,,,,,,,,
,1958,7,12,,,Mahawu,Sulawesi-Indonesia,Indonesia,1.358,124.858,1324,Stratovolcano,2,M,1,1,,,10,1,,,,,1,1,,,10,1,,,,
,1958,7,21,,,Daisetsu,Hokkaido-Japan,Japan,43.68,142.88,2290,Stratovolcano,,G,2,1,,,,,,,,,2,1,,,,,,,,
,1958,10,7,1882,,Kuwae,Vanuatu-SW Pacific,Vanuatu,-16.829,168.536,-2,Caldera,2,,,,,,,,,,,,,,,,,,,,,
,1960,5,25,1902,4227,Puyehue,Chile-C,Chile,-40.59,-72.117,2236,Stratovolcano,3,,,,,,,,,,,,,,,,,,,,,
,1961,1,25,,,Calbuco,Chile-S,Chile,-41.326,-72.614,2003,Stratovolcano,3,,,,,,,,,1,,,,,,,,,,,,
,1961,4,23,,,Tate-yama,Honshu-Japan,Japan,36.57,137.6,2621,Stratovolcano,,G,1,1,,,,,,,,,1,1,,,,,,,,
,1961,5,8,,,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,3,P,6,1,,,6,1,,2,,3,6,1,,,6,1,,2,,3
