time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-08-09T15:31:11.700Z,52.106,-175.416,4.7,3.2,ml,10,177.4,,,us,usp000ge9b,2019-02-13T09:56:14.024Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,aeic,aeic
2008-08-09T06:51:12.594Z,52.1264,-175.3815,6.3,2.5,ml,,,,0.61,ak,ak008a796lqz,2019-02-13T09:55:36.291Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2008-08-09T03:46:35.101Z,51.977,-175.4068,4.9,3,ml,,,,0.87,ak,ak008a77da3a,2019-02-13T09:55:30.387Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2008-08-08T23:09:53.916Z,52.0834,-175.4264,6.3,2.5,ml,,,,0.97,ak,ak008a5vipnj,2019-02-13T09:53:01.492Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2008-08-08T17:27:24.081Z,52.0778,-175.3315,11.4,3.2,ml,,,,1.06,ak,ak008a5s1wm0,2019-02-13T09:52:55.030Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,1.2,,,reviewed,ak,ak
2008-08-08T15:44:16.820Z,52.113,-175.363,4.6,3.1,ml,4,177.2,,,us,usp000ge75,2019-02-13T09:52:50.411Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,aeic,aeic
2008-08-08T15:20:05.862Z,52.0287,-175.4613,4.7,2.5,ml,,,,0.87,ak,ak008a5qthze,2019-02-13T09:52:48.935Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2008-08-08T15:18:29.403Z,52.0768,-175.5292,7,2.8,ml,,,,0.68,ak,ak008a5qt4d8,2019-02-13T09:52:48.529Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,1.7,,,reviewed,ak,ak
2008-08-08T14:03:39.086Z,52.0762,-175.4762,6.7,2.5,ml,,,,1,ak,ak008a5q4hro,2019-02-13T09:53:23.897Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,4.1,,,reviewed,ak,ak
2008-08-08T13:55:11.401Z,52.104,-175.481,6.6,2.5,ml,,,,0.83,ak,ak008a5pu59g,2019-02-13T09:52:44.715Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2008-08-08T12:28:22.970Z,52.129,-175.51,15.6,3.1,ml,9,178.4,,,us,usp000ge6k,2019-02-13T09:52:40.582Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,aeic,aeic
2008-08-08T12:14:20.323Z,52.0989,-175.4927,6.4,2.6,ml,,,,0.7,ak,ak008a5ozxzk,2019-02-13T09:52:39.727Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,10.6,,,reviewed,ak,ak
2008-08-08T12:06:30.600Z,52.1276,-175.4785,6.3,2.5,ml,,,,0.65,ak,ak008a5oy91w,2019-02-13T09:54:48.217Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,2.1,,,reviewed,ak,ak
2008-08-08T11:55:58.928Z,52.0835,-175.4799,4.8,2.5,ml,,,,1.01,ak,ak008a5ondpw,2019-02-13T09:52:38.960Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,1,,,reviewed,ak,ak
2008-08-08T10:16:03.276Z,52.0697,-175.4873,13.2,2.7,ml,,,,0.51,ak,ak008a5ntgw7,2019-02-13T09:52:35.649Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2008-08-08T09:37:59.336Z,52.0997,-175.5037,6.5,2.5,ml,,,,0.92,ak,ak008a5ncnnh,2019-02-13T09:52:34.904Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,2,,,reviewed,ak,ak
2008-08-08T09:29:51.672Z,52.0896,-175.5306,8.3,2.5,ml,,,,0.72,ak,ak008a5naxbz,2019-02-13T09:52:33.765Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,2.6,,,reviewed,ak,ak
2008-08-08T09:07:47.212Z,52.0697,-175.4658,6.5,2.9,ml,,,,1.02,ak,ak008a5n678h,2019-02-13T09:52:32.231Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,1.6,,,reviewed,ak,ak
2008-08-08T07:45:14.636Z,52.1361,-175.4795,13,2.9,ml,,,,0.53,ak,ak008a5m7epz,2019-02-13T09:54:23.223Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,2.4,,,reviewed,ak,ak
2008-08-08T07:42:26.628Z,52.1406,-175.4917,13.4,2.5,ml,,,,0.65,ak,ak008a5m6shy,2019-02-13T09:54:25.028Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,1.3,,,reviewed,ak,ak
