time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-06-30T19:11:44.210Z,34.088,139.264,10,4.5,mb,33,,,1.04,us,usp0009vgf,2014-11-07T01:10:26.313Z,"near the south coast of Honshu, Japan",earthquake,,,,18,reviewed,us,us
2000-06-30T18:57:17.290Z,34.171,139.363,10,4.3,mb,34,,,1.15,us,usp0009vgc,2014-11-07T01:10:26.304Z,"near the south coast of Honshu, Japan",earthquake,,,,10,reviewed,us,us
2000-06-30T17:41:16.960Z,34.073,139.374,10,4.8,mb,76,,,1.11,us,usp0009vgb,2014-11-07T01:10:26.295Z,"near the south coast of Honshu, Japan",earthquake,,,,45,reviewed,us,us
2000-06-30T15:02:42.840Z,34.029,139.373,10,3.7,mb,13,,,1.3,us,usp0009vg7,2014-11-07T01:10:26.289Z,"near the south coast of Honshu, Japan",earthquake,,,,1,reviewed,us,us
2000-06-30T11:42:49.220Z,34.23,139.316,10,4.7,mb,66,,,0.98,us,usp0009vg3,2014-11-07T01:10:26.275Z,"near the south coast of Honshu, Japan",earthquake,,,,31,reviewed,us,us
2000-06-30T09:53:59.900Z,33.988,139.187,10,4.6,mb,53,,,1.17,us,usp0009vfy,2014-11-07T01:10:26.260Z,"Izu Islands, Japan region",earthquake,,,,27,reviewed,us,us
2000-06-29T18:54:03.940Z,33.997,139.35,10,4.4,mb,23,,,1.12,us,usp0009vex,2014-11-07T01:10:26.169Z,"Izu Islands, Japan region",earthquake,,,,5,reviewed,us,us
2000-06-29T17:32:27.700Z,33.92,139.46,10,4.1,mb,16,,,1.19,us,usp0009vet,2014-11-07T01:10:26.161Z,"Izu Islands, Japan region",earthquake,,,,6,reviewed,us,us
2000-06-29T16:27:55.220Z,34.073,139.409,10,4.5,mb,24,,,1.31,us,usp0009vem,2014-11-07T01:10:26.152Z,"near the south coast of Honshu, Japan",earthquake,,,,4,reviewed,us,us
2000-06-29T16:13:56.020Z,34.045,139.434,10,4.7,mb,46,,,1.03,us,usp0009veh,2014-11-07T01:10:26.143Z,"near the south coast of Honshu, Japan",earthquake,,,,14,reviewed,us,us
2000-06-29T16:04:00.190Z,34.249,139.205,10,4.8,mb,107,,,0.93,us,usp0009vef,2014-11-07T01:10:26.130Z,"near the south coast of Honshu, Japan",earthquake,,,,50,reviewed,us,us
2000-06-29T15:52:03.830Z,34.14,139.27,10,4.6,mb,46,,,1.31,us,usp0009vee,2014-11-07T01:10:26.123Z,"near the south coast of Honshu, Japan",earthquake,,,,20,reviewed,us,us
2000-06-29T14:26:17.930Z,33.967,139.459,10,4.4,mb,38,,,1.1,us,usp0009ve9,2014-11-07T01:10:26.113Z,"Izu Islands, Japan region",earthquake,,,,14,reviewed,us,us
