time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2011-06-17T09:16:12.570Z,13.303,41.732,10,5.6,mwb,161,51.8,,1.05,us,usp000j3ap,2020-09-21T17:34:24.541Z,"Eritrea - Ethiopia region",earthquake,,,,,reviewed,us,us
2011-06-12T21:41:55.800Z,13.377,41.62,2.5,4.6,mb,65,70,,0.86,us,usp000j332,2014-11-07T01:45:04.930Z,"Eritrea - Ethiopia region",earthquake,,20.5,,25,reviewed,us,us
2011-06-12T21:37:13.320Z,13.213,41.792,12.2,4.5,mb,67,68.8,,1.11,us,usp000j331,2014-11-07T01:45:04.924Z,"Eritrea - Ethiopia region",earthquake,,25.2,,25,reviewed,us,us
2011-06-12T21:31:08.720Z,13.34,41.542,13.1,4.6,mb,27,129.9,,0.76,us,usp000j330,2014-11-07T01:45:04.922Z,"Eritrea - Ethiopia region",earthquake,,29.9,,4,reviewed,us,us
2011-06-12T21:17:11.220Z,13.408,41.548,10,4.6,mb,29,116.7,,0.98,us,usp000j32z,2014-11-07T01:45:04.919Z,"Eritrea - Ethiopia region",earthquake,,,,7,reviewed,us,us
2011-06-12T21:03:23.160Z,13.53,41.641,10,5.4,mwc,249,49.7,,0.97,us,usp000j32y,2015-03-24T02:09:14.285Z,"Eritrea - Ethiopia region",earthquake,,,,,reviewed,us,gcmt
2011-06-12T20:58:18.460Z,13.433,41.682,10,4,mb,27,125.5,,0.94,us,usp000j32w,2014-11-07T01:45:04.886Z,"Eritrea - Ethiopia region",earthquake,,,,4,reviewed,us,us
2011-06-12T20:32:40.490Z,13.414,41.735,10,5.6,mww,210,49.6,,1,us,usp000j32u,2020-09-21T17:33:38.563Z,"Eritrea - Ethiopia region",earthquake,,,,,reviewed,us,us
2011-06-12T20:23:06.400Z,13.392,41.62,10,4.3,mb,24,70.2,,0.98,us,usp000j32s,2014-11-07T01:45:04.846Z,"Eritrea - Ethiopia region",earthquake,,,,1,reviewed,us,us
2011-06-12T20:10:54.780Z,13.153,41.661,10,4.1,mb,24,190.1,,0.77,us,usp000j32r,2014-11-07T01:45:04.844Z,"Eritrea - Ethiopia region",earthquake,,,,1,reviewed,us,us
2011-06-12T19:57:43.910Z,13.377,41.665,10,4.4,mb,17,118.7,,0.86,us,usp000j32q,2014-11-07T01:45:04.842Z,"Eritrea - Ethiopia region",earthquake,,,,2,reviewed,us,us
2011-06-12T19:44:16.310Z,13.409,41.711,10,4.8,mb,71,64,,1.09,us,usp000j32n,2014-11-07T01:45:04.830Z,"Eritrea - Ethiopia region",earthquake,,,,25,reviewed,us,us
2011-06-12T19:38:03.460Z,13.226,41.735,10,4.5,mb,36,119.5,,1.15,us,usp000j32m,2014-11-07T01:45:04.827Z,"Eritrea - Ethiopia region",earthquake,,,,7,reviewed,us,us
2011-06-12T19:37:43.850Z,13.441,41.667,10,4.8,mb,52,71.8,,1.06,us,usp000j32k,2014-11-07T01:45:04.823Z,"Eritrea - Ethiopia region",earthquake,,,,11,reviewed,us,us
2011-06-12T19:31:19.750Z,13.251,41.795,10,4.2,mb,29,72.2,,0.94,us,usp000j32j,2014-11-07T01:45:04.821Z,"Eritrea - Ethiopia region",earthquake,,,,4,reviewed,us,us
2011-06-12T19:23:55.520Z,13.312,41.72,10,4.6,mb,21,118.5,,0.97,us,usp000j32h,2014-11-07T01:45:04.819Z,"Eritrea - Ethiopia region",earthquake,,,,2,reviewed,us,us
2011-06-12T19:21:50.810Z,13.303,41.801,10,5,mwc,99,49.6,,1.11,us,usp000j32g,2014-11-07T01:45:04.811Z,"Eritrea - Ethiopia region",earthquake,,,,,reviewed,us,gcmt
2011-06-12T19:03:37.210Z,13.428,41.727,10,4.2,mb,35,73,,1.25,us,usp000j32e,2014-11-07T01:45:04.806Z,"Eritrea - Ethiopia region",earthquake,,,,6,reviewed,us,us
2011-06-12T18:56:12.850Z,13.262,41.765,10,4,mb,15,126.2,,1.18,us,usp000j32d,2014-11-07T01:45:04.805Z,"Eritrea - Ethiopia region",earthquake,,,,1,reviewed,us,us
2011-06-12T18:48:51.500Z,13.353,41.818,10,4,mb,29,74.1,,1.21,us,usp000j32c,2014-11-07T01:45:04.802Z,"Eritrea - Ethiopia region",earthquake,,,,4,reviewed,us,us
2011-06-12T18:01:21.720Z,13.196,41.818,10,4.4,mb,40,72,,1.2,us,usp000j328,2014-11-07T01:45:04.789Z,"Eritrea - Ethiopia region",earthquake,,,,9,reviewed,us,us
2011-06-12T17:47:20.290Z,13.332,41.693,10,4.7,mb,48,77.1,,1.36,us,usp000j327,2014-11-07T01:45:04.785Z,"Eritrea - Ethiopia region",earthquake,,,,13,reviewed,us,us
2011-06-12T17:24:38.940Z,13.097,41.779,10,4,mb,16,128.7,,0.79,us,usp000j325,2014-11-07T01:45:04.781Z,"Eritrea - Ethiopia region",earthquake,,,,1,reviewed,us,us
2011-06-12T17:18:09.640Z,13.344,41.766,10,4.8,mb,95,49.6,,1.13,us,usp000j324,2014-11-07T01:45:04.774Z,"Eritrea - Ethiopia region",earthquake,,,,38,reviewed,us,us
2011-06-12T17:00:00.600Z,13.311,41.696,10,4.2,mb,15,164,,0.76,us,usp000j31z,2014-11-07T01:45:04.765Z,"Eritrea - Ethiopia region",earthquake,,2,,2,reviewed,us,us
2011-06-12T16:51:00.390Z,13.349,41.763,10,4.3,mb,18,124.9,,0.88,us,usp000j31x,2014-11-07T01:45:04.760Z,"Eritrea - Ethiopia region",earthquake,,0,,2,reviewed,us,us
2011-06-12T16:44:40.870Z,13.337,41.659,10,4.7,mb,14,127.5,,0.6,us,usp000j31w,2014-11-07T01:45:04.759Z,"Eritrea - Ethiopia region",earthquake,,0,,1,reviewed,us,us
2011-06-12T16:33:10.730Z,13.294,41.756,10,4.3,mb,31,126,,0.58,us,usp000j31v,2014-11-07T01:45:04.756Z,"Eritrea - Ethiopia region",earthquake,,,,2,reviewed,us,us
2011-06-12T16:27:49.900Z,13.305,41.654,10,4.8,mb,16,77.2,,1.16,us,usp000j31u,2014-11-07T01:45:04.754Z,"Eritrea - Ethiopia region",earthquake,,,,1,reviewed,us,us
2011-06-12T16:24:44.070Z,13.398,41.726,10,4.8,mb,88,49.6,,0.94,us,usp000j31s,2014-11-07T01:45:04.745Z,"Eritrea - Ethiopia region",earthquake,,0,,28,reviewed,us,us
2011-06-12T16:22:11.160Z,13.282,41.716,10,4.2,mb,16,127.1,,0.64,us,usp000j31q,2014-11-07T01:45:04.741Z,"Eritrea - Ethiopia region",earthquake,,0,,2,reviewed,us,us
2011-06-12T16:12:03.180Z,13.322,41.781,12.5,4.7,mb,72,49.6,,0.92,us,usp000j31p,2014-11-07T01:45:04.735Z,"Eritrea - Ethiopia region",earthquake,,19.6,,22,reviewed,us,us
2011-06-12T16:09:30.950Z,13.331,41.76,10,4.5,mb,43,76.9,,0.95,us,usp000j31n,2014-11-07T01:45:04.732Z,"Eritrea - Ethiopia region",earthquake,,,,10,reviewed,us,us
2011-06-12T15:38:52.000Z,13.339,41.637,10,4,mb,18,119.9,,1.18,us,usp000j31j,2014-11-07T01:45:04.726Z,"Eritrea - Ethiopia region",earthquake,,,,1,reviewed,us,us
2011-06-12T15:37:04.110Z,13.42,41.694,1.9,5.1,mwc,129,49.7,,0.86,us,usp000j31h,2014-11-07T01:45:04.716Z,"Eritrea - Ethiopia region",earthquake,,14.1,,,reviewed,us,gcmt
2011-03-31T18:33:38.040Z,13.17,41.829,6.5,4.5,mb,67,53.7,,1.05,us,usp000hz0n,2014-11-07T01:44:23.039Z,"Eritrea - Ethiopia region",earthquake,,20.5,,19,reviewed,us,us
