time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1991-06-20T09:12:48.330Z,15.087,120.241,10,4.8,mb,,,,1.5,us,usp0004t70,2014-11-07T00:48:46.155Z,"Luzon, Philippines",earthquake,,,,10,reviewed,us,us
1991-06-19T03:06:42.850Z,15.001,120.034,10,4.4,mb,,,,0.7,us,usp0004t4x,2014-11-07T00:48:45.880Z,"Luzon, Philippines",earthquake,,,,3,reviewed,us,us
1991-06-18T20:17:48.520Z,15.231,120.293,10,4.8,mb,,,,1.3,us,usp0004t4g,2014-11-07T00:48:45.837Z,"Luzon, Philippines",earthquake,,,,9,reviewed,us,us
1991-06-18T03:20:25.310Z,15.219,120.322,10,4.9,mb,,,,1.4,us,usp0004t3k,2014-11-07T00:48:45.698Z,"Luzon, Philippines",earthquake,,,,19,reviewed,us,us
1991-06-17T23:10:02.850Z,15.203,120.393,10,4.2,mb,,,,1.6,us,usp0004t3d,2014-11-07T00:48:45.685Z,"Luzon, Philippines",earthquake,,,,3,reviewed,us,us
1991-06-17T16:37:52.820Z,15.193,120.25,10,4.6,mb,,,,1.5,us,usp0004t30,2014-11-07T00:48:45.649Z,"Luzon, Philippines",earthquake,,,,12,reviewed,us,us
1991-06-17T15:33:01.700Z,15.211,120.34,10,4.8,mb,,,,1.5,us,usp0004t2x,2014-11-07T00:48:45.641Z,"Luzon, Philippines",earthquake,,,,20,reviewed,us,us
1991-06-16T20:40:40.570Z,15.17,120.323,10,5.2,mb,,,,1.2,us,usp0004t1r,2014-11-07T00:48:45.534Z,"Luzon, Philippines",earthquake,,,,20,reviewed,us,us
1991-06-16T20:37:20.310Z,15.08,120.585,10,5.5,mb,,,,1.2,us,usp0004t1p,2020-08-29T00:50:51.050Z,"Luzon, Philippines",earthquake,,,,13,reviewed,us,us
1991-06-16T20:36:53.350Z,15.234,120.291,10,5,mb,,,,1,us,usp0004t1n,2015-05-13T18:53:30.000Z,"Luzon, Philippines",earthquake,,,,27,reviewed,us,us
1991-06-16T13:26:44.090Z,15.03,120.223,12.6,5,mb,,,,1.2,us,usp0004t1a,2014-11-07T00:48:45.439Z,"Luzon, Philippines",earthquake,,,,21,reviewed,us,us
