time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2011-06-04T18:26:38.000Z,-40.516,-72.21,8.6,4,mb,13,148.7,,,us,usp000j2qm,2014-11-07T01:45:01.938Z,"Los Lagos, Chile",earthquake,,,,3,reviewed,guc,us
2011-06-04T17:54:07.500Z,-40.456,-71.741,14.2,4.9,mb,76,140.4,,1.01,us,usp000j2qh,2015-03-24T01:18:03.207Z,"Neuquen, Argentina",earthquake,,10.8,,49,reviewed,us,us
2011-06-04T17:30:58.750Z,-40.491,-71.936,10,4.4,mb,11,146.9,,1.32,us,usp000j2qf,2014-11-07T01:45:01.923Z,"Los Lagos, Chile",earthquake,,,,3,reviewed,us,us
2011-06-04T17:00:48.380Z,-40.36,-71.782,10,4.7,mb,56,136,,1.35,us,usp000j2qe,2014-11-07T01:45:01.917Z,"Los Lagos, Chile",earthquake,,,,31,reviewed,us,us
2011-06-04T16:28:47.680Z,-40.546,-71.901,9.8,5,mwc,65,62.8,,1.31,us,usp000j2qc,2015-03-24T01:18:01.685Z,"Los Lagos, Chile",earthquake,,15.7,,,reviewed,us,gcmt
2011-06-04T16:24:38.000Z,-40.476,-72.124,13,4.7,ml,7,245.4,,,us,usp000j2qb,2014-11-07T01:45:01.905Z,"Los Lagos, Chile",earthquake,,,,,reviewed,guc,guc
2011-06-04T15:19:19.960Z,-40.59,-71.88,10,4.6,mb,47,89.9,,0.9,us,usp000j2q8,2014-11-07T01:45:01.897Z,"Los Lagos, Chile",earthquake,,,,27,reviewed,us,us
2011-06-04T15:05:39.000Z,-40.535,-72.158,7.2,4.7,mb,56,77.7,,,us,usp000j2q7,2014-11-07T01:45:01.892Z,"Los Lagos, Chile",earthquake,,,,13,reviewed,guc,us
2011-06-04T14:52:30.450Z,-40.523,-72.377,10,4.2,mb,9,152,,0.92,us,usp000j2q6,2014-11-07T01:45:01.890Z,"Los Lagos, Chile",earthquake,,,,4,reviewed,us,us
2011-06-04T14:52:06.000Z,-40.502,-72.123,18.9,4.4,mb,13,145.5,,,us,usp000j2q5,2014-11-07T01:45:01.889Z,"Los Lagos, Chile",earthquake,,,,3,reviewed,guc,us
2011-06-04T14:13:16.000Z,-40.494,-72.137,7.1,4.4,mb,24,145.5,,,us,usp000j2q4,2014-11-07T01:45:01.886Z,"Los Lagos, Chile",earthquake,,,,2,reviewed,guc,us
2011-06-04T14:06:32.000Z,-40.401,-72.018,5.4,4.4,mb,5,185.8,,,us,usp000j2q3,2014-11-07T01:45:01.884Z,"Los Lagos, Chile",earthquake,,,,2,reviewed,guc,us
2011-06-04T13:58:56.000Z,-40.444,-72.177,12.7,4.9,mb,20,145.5,,,us,usp000j2q2,2014-11-07T01:45:01.882Z,"Los Lagos, Chile",earthquake,,,,4,reviewed,guc,us
2011-06-04T13:48:47.890Z,-40.425,-71.812,10,4.7,mb,55,115.9,,0.91,us,usp000j2q0,2014-11-07T01:45:01.874Z,"Los Lagos, Chile",earthquake,,,,27,reviewed,us,us
2011-06-04T13:20:51.000Z,-40.42,-72.059,13.1,4.7,mb,95,100.3,,,us,usp000j2py,2014-11-07T01:45:01.833Z,"Los Lagos, Chile",earthquake,,,,21,reviewed,guc,us
2011-06-04T12:56:43.000Z,-40.537,-72.319,2.1,3.6,ml,5,233.2,,,us,usp000j2px,2014-11-07T01:45:01.832Z,"Los Lagos, Chile",earthquake,,,,,reviewed,guc,guc
2011-06-04T12:51:57.000Z,-40.459,-72.09,10.9,4.3,ml,16,207.3,,,us,usp000j2pw,2014-11-07T01:45:01.829Z,"Los Lagos, Chile",earthquake,,,,,reviewed,guc,guc
2011-06-04T12:26:23.000Z,-40.484,-72.116,14.7,4.3,ml,31,127.7,,,us,usp000j2pu,2014-11-07T01:45:01.823Z,"Los Lagos, Chile",earthquake,,,,,reviewed,guc,guc
2011-06-04T12:23:49.000Z,-40.491,-72.093,13.1,4.8,mb,42,131.1,,,us,usp000j2pt,2014-11-07T01:45:01.819Z,"Los Lagos, Chile",earthquake,,,,20,reviewed,guc,us
2011-06-04T10:45:58.000Z,-40.463,-72.11,19.3,4.3,ml,7,139.8,,,us,usp000j2pn,2014-11-07T01:45:01.790Z,"Los Lagos, Chile",earthquake,,,,,reviewed,guc,guc
2011-06-04T10:19:03.000Z,-40.403,-72.093,3,3.9,ml,11,209,,,us,usp000j2pm,2014-11-07T01:45:01.788Z,"Los Lagos, Chile",earthquake,,,,,reviewed,guc,guc
2011-05-17T14:31:54.730Z,-40.42,-71.8,45,4.2,mb,19,140.1,,0.79,us,usp000j1r0,2014-11-07T01:44:51.949Z,"Los Lagos, Chile",earthquake,,8.6,,4,reviewed,us,us
2011-04-27T06:56:17.430Z,-40.356,-71.733,41.1,4.8,mb,33,135,,1.12,us,usp000j0nn,2014-11-07T01:44:38.506Z,"Los Lagos, Chile",earthquake,,11.1,,16,reviewed,us,us
