time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1980-05-20T12:34:31.760Z,46.2063333,-122.2076667,11.514,3.4,md,20,61,0.02372,0.12,uw,uw10094113,2016-07-24T21:34:47.440Z,"Mount St. Helens area, Washington",earthquake,0.495,0.93,0.06,11,reviewed,uw,uw
1980-05-19T14:21:57.210Z,46.2161667,-122.2055,13.763,3.6,md,13,92,0.07834,0.09,uw,uw10091908,2016-07-24T21:34:11.460Z,"Mount St. Helens area, Washington",earthquake,0.014,0.04,0.14,1,reviewed,uw,uw
1980-05-19T09:15:35.680Z,46.1955,-122.1823333,4.839,2.9,md,17,64,0.03758,0.17,uw,uw10091083,2016-07-24T21:33:53.950Z,"Mount St. Helens area, Washington",earthquake,0.607,0.66,0.06,11,reviewed,uw,uw
1980-05-19T07:39:32.100Z,46.2073333,-122.2131667,11.084,3.3,md,21,64,0.02125,0.14,uw,uw10090633,2016-07-24T21:33:46.410Z,"Mount St. Helens area, Washington",earthquake,0.702,1.55,0.08,11,reviewed,uw,uw
1980-05-19T07:18:50.750Z,46.2105,-122.2016667,14.454,3.6,md,27,58,0.0295,0.17,uw,uw10090523,2016-07-24T21:33:45.040Z,"Mount St. Helens area, Washington",earthquake,0.731,1.24,0.04,12,reviewed,uw,uw
1980-05-19T04:36:19.690Z,46.2078333,-122.2098333,12.024,2.5,md,19,61,0.02336,0.1,uw,uw10089868,2016-07-24T21:33:33.330Z,"Mount St. Helens area, Washington",earthquake,0.455,1.03,0.24,10,reviewed,uw,uw
1980-05-19T03:55:51.070Z,46.1961667,-122.1788333,4.672,2.5,md,18,64,0.04004,0.22,uw,uw10089768,2016-07-24T21:33:31.790Z,"Mount St. Helens area, Washington",earthquake,0.778,1.48,0.09,3,reviewed,uw,uw
1980-05-19T01:36:09.750Z,46.2055,-122.1681667,6.382,2.6,md,19,65,0.04886,0.13,uw,uw10089273,2016-07-24T21:33:22.410Z,"Mount St. Helens area, Washington",earthquake,0.475,0.81,0.06,9,reviewed,uw,uw
1980-05-19T01:31:58.590Z,46.206,-122.2066667,11.402,3.7,md,20,61,0.02413,0.14,uw,uw10089233,2016-07-24T21:33:22.030Z,"Mount St. Helens area, Washington",earthquake,0.553,1,0.2,1,reviewed,uw,uw
1980-05-19T01:29:30.160Z,46.2185,-122.192,18.332,2.6,md,17,85,0.03969,0.09,uw,uw10089203,2016-07-24T21:33:20.910Z,"Mount St. Helens area, Washington",earthquake,0.475,0.79,0.13,9,reviewed,uw,uw
1980-05-19T01:21:41.130Z,46.2141667,-122.1861667,16.746,3.3,md,16,86,0.1157,0.14,uw,uw10089148,2016-07-24T21:33:20.210Z,"Mount St. Helens area, Washington",earthquake,0.673,0.99,0.12,1,reviewed,uw,uw
1980-05-19T01:11:41.930Z,46.222,-122.1945,17.367,3.6,md,20,60,0.04073,0.07,uw,uw10089048,2016-07-24T21:33:18.800Z,"Mount St. Helens area, Washington",earthquake,0.34,0.58,0.21,1,reviewed,uw,uw
1980-05-19T00:57:59.630Z,46.2131667,-122.2013333,12.992,3.9,md,22,49,0.0313,0.15,uw,uw10088893,2016-07-24T21:33:15.920Z,"Mount St. Helens area, Washington",earthquake,0.609,0.92,0.04,1,reviewed,uw,uw
1980-05-19T00:55:58.330Z,46.226,-122.1936667,16.152,2.8,md,22,60,0.04402,0.08,uw,uw10088833,2016-07-24T21:33:14.900Z,"Mount St. Helens area, Washington",earthquake,0.248,0.45,0.08,8,reviewed,uw,uw
1980-05-19T00:53:03.120Z,46.2145,-122.2073333,14.562,3.5,md,21,49,0.02913,0.16,uw,uw10088808,2016-07-24T21:33:14.470Z,"Mount St. Helens area, Washington",earthquake,0.603,0.8,0.11,1,reviewed,uw,uw
1980-05-19T00:51:33.180Z,46.204,-122.2101667,11.692,3.5,md,22,61,0.06967,0.12,uw,uw10088778,2016-07-24T21:33:14.120Z,"Mount St. Helens area, Washington",earthquake,0.509,0.96,0.12,1,reviewed,uw,uw
1980-05-19T00:42:52.130Z,46.2013333,-122.1795,5.787,2.6,md,16,86,0.04026,0.14,uw,uw10088698,2016-07-24T21:33:10.880Z,"Mount St. Helens area, Washington",earthquake,0.028,0.06,0.11,9,reviewed,uw,uw
1980-05-19T00:18:02.790Z,46.2043333,-122.1873333,0.796,4,md,17,84,0.1058,0.16,uw,uw10088428,2016-07-24T21:33:05.520Z,"Mount St. Helens area, Washington",earthquake,0.582,1.59,0.15,1,reviewed,uw,uw
1980-05-19T00:17:45.100Z,46.201,-122.19,1.336,3,md,19,63,0.1023,0.16,uw,uw10088403,2016-07-24T21:33:05.070Z,"Mount St. Helens area, Washington",earthquake,0.099,0.27,0.17,3,reviewed,uw,uw
1980-05-19T00:15:29.180Z,46.1961667,-122.1925,1.996,2.8,md,19,63,0.09729,0.19,uw,uw10088388,2016-07-24T21:33:04.630Z,"Mount St. Helens area, Washington",earthquake,0.51,2.24,0.13,4,reviewed,uw,uw
1980-05-19T00:10:56.070Z,46.2028333,-122.1838333,1.926,2.5,md,19,63,0.1047,0.17,uw,uw10088353,2016-07-24T21:33:03.760Z,"Mount St. Helens area, Washington",earthquake,0.569,2.59,0.07,4,reviewed,uw,uw
1980-05-19T00:03:30.140Z,46.2083333,-122.1793333,6.626,2.9,md,17,63,0.1106,0.23,uw,uw10088223,2016-07-24T21:33:00.430Z,"Mount St. Helens area, Washington",earthquake,0.884,1.76,0.08,4,reviewed,uw,uw
1980-05-18T23:55:39.870Z,46.2068333,-122.1596667,-0.864,2.8,md,11,93,0.1124,0.61,uw,uw10088143,2016-07-24T21:32:56.660Z,"Mount St. Helens area, Washington",earthquake,1.35,31.61,0.26,4,reviewed,uw,uw
1980-05-18T23:54:59.340Z,46.2096667,-122.2065,11.746,3.2,md,19,60,0.1049,0.21,uw,uw10088128,2016-07-24T21:32:56.110Z,"Mount St. Helens area, Washington",earthquake,0.836,1.55,0.07,3,reviewed,uw,uw
1980-05-18T23:26:57.920Z,46.219,-122.2043333,6.796,3.6,md,16,82,0.1067,0.18,uw,uw10088013,2016-07-24T21:32:50.940Z,"Mount St. Helens area, Washington",earthquake,0.641,1.17,0.13,1,reviewed,uw,uw
1980-05-18T23:23:23.950Z,46.205,-122.2086667,12.056,3.8,md,18,83,0.1036,0.15,uw,uw10087983,2016-07-24T21:32:50.210Z,"Mount St. Helens area, Washington",earthquake,0.714,1.31,0.08,1,reviewed,uw,uw
1980-05-18T23:16:39.900Z,46.2121667,-122.2106667,12.776,3.6,md,19,60,0.102,0.13,uw,uw10087953,2016-07-24T21:32:49.570Z,"Mount St. Helens area, Washington",earthquake,0.05,0.07,0.12,1,reviewed,uw,uw
1980-05-18T23:14:19.560Z,46.2105,-122.1841667,2.796,4.1,md,17,63,0.1122,0.11,uw,uw10087938,2016-07-24T21:32:49.200Z,"Mount St. Helens area, Washington",earthquake,0.806,14.06,0.1,1,reviewed,uw,uw
1980-05-18T23:09:41.360Z,46.1493333,-122.1706667,26.069,4.1,md,9,153,0.05608,0.3,uw,uw10087908,2016-07-24T21:32:48.400Z,"Mount St. Helens area, Washington",earthquake,4.999,8.02,0.11,1,reviewed,uw,uw
1980-05-18T23:07:21.530Z,46.1265,-122.1503333,-0.854,4.3,md,11,197,0.04809,0.28,uw,uw10087903,2016-07-24T21:32:48.120Z,"Mount St. Helens area, Washington",earthquake,0.966,1.54,0.16,1,reviewed,uw,uw
1980-05-18T23:06:19.960Z,46.2048333,-122.1861667,2.313,3.9,md,17,125,0.1064,0.2,uw,uw10087893,2016-07-24T21:32:47.590Z,"Mount St. Helens area, Washington",earthquake,0.838,3.02,0.15,1,reviewed,uw,uw
1980-05-18T23:03:17.600Z,46.2041667,-122.179,0.756,4,md,15,86,0.1066,0.11,uw,uw10087878,2016-07-24T21:32:47.270Z,"Mount St. Helens area, Washington",earthquake,0.508,2.39,0.08,1,reviewed,uw,uw
1980-05-18T23:00:49.910Z,46.2076667,-122.1925,5.906,4,md,17,62,0.1087,0.27,uw,uw10087843,2016-07-24T21:32:46.580Z,"Mount St. Helens area, Washington",earthquake,0.12,0.29,0.09,1,reviewed,uw,uw
1980-05-18T22:59:04.360Z,46.2005,-122.1915,2.336,4.2,md,18,82,0.1017,0.12,uw,uw10087833,2016-07-24T21:32:46.270Z,"Mount St. Helens area, Washington",earthquake,0.375,1.27,0.11,1,reviewed,uw,uw
1980-05-18T22:56:29.560Z,46.204,-122.1885,0.206,3.3,md,21,71,0.1054,0.39,uw,uw10087798,2016-07-24T21:32:45.530Z,"Mount St. Helens area, Washington",earthquake,1.358,2.17,0.15,2,reviewed,uw,uw
1980-05-18T22:54:01.330Z,46.2265,-122.1803333,-0.757,4.5,md,9,128,0.124,0.64,uw,uw10087768,2016-07-24T21:32:44.760Z,"Mount St. Helens area, Washington",other event,0.644,0.94,0.05,1,reviewed,uw,uw
1980-05-18T22:50:54.950Z,46.1818333,-122.2111667,4.526,4.3,md,17,73,0.08243,0.18,uw,uw10087748,2016-07-24T21:32:44.390Z,"Mount St. Helens area, Washington",earthquake,0.845,1.82,0.08,1,reviewed,uw,uw
1980-05-18T22:49:04.420Z,46.1991667,-122.1906667,1.268,4.2,md,16,91,0.1166,0.18,uw,uw10087733,2016-07-24T21:32:44.070Z,"Mount St. Helens area, Washington",earthquake,2.94,10.06,0.8,1,reviewed,uw,uw
1980-05-18T22:48:08.960Z,46.1643333,-122.194,11.948,4.2,md,12,107,0.06556,0.36,uw,uw10087728,2016-07-24T21:32:43.780Z,"Mount St. Helens area, Washington",other event,2.084,2.53,0.2,1,reviewed,uw,uw
1980-05-18T22:38:34.200Z,46.1953333,-122.1891667,1.026,4.1,md,18,82,0.09674,0.16,uw,uw10087708,2016-07-24T21:32:43.450Z,"Mount St. Helens area, Washington",earthquake,0.609,1.47,0.11,1,reviewed,uw,uw
1980-05-18T22:37:08.010Z,46.203,-122.1858333,1.306,4,md,17,84,0.1047,0.15,uw,uw10087693,2016-07-24T21:32:42.680Z,"Mount St. Helens area, Washington",earthquake,0.511,1.53,0.21,1,reviewed,uw,uw
1980-05-18T22:35:49.960Z,46.2085,-122.2071667,10.008,4.2,md,15,60,0.1045,0.18,uw,uw10087688,2016-07-24T21:32:42.410Z,"Mount St. Helens area, Washington",earthquake,0.099,0.21,0.11,1,reviewed,uw,uw
1980-05-18T22:28:37.130Z,46.2033333,-122.209,4.966,3.7,md,11,78,0.1035,0.18,uw,uw10087673,2016-07-24T21:32:42.150Z,"Mount St. Helens area, Washington",earthquake,0.75,3.7,0.14,1,reviewed,uw,uw
1980-05-18T22:27:12.780Z,46.1893333,-122.1976667,5.596,4.1,md,15,78,0.09015,0.15,uw,uw10087658,2016-07-24T21:32:41.870Z,"Mount St. Helens area, Washington",earthquake,0.5,1.41,0.12,1,reviewed,uw,uw
1980-05-18T22:18:08.820Z,46.1986667,-122.1773333,0.816,4.1,md,14,88,0.1014,0.49,uw,uw10087583,2016-07-24T21:32:40.090Z,"Mount St. Helens area, Washington",other event,2.062,5.42,0.16,1,reviewed,uw,uw
1980-05-18T22:16:51.380Z,46.2085,-122.1826667,0.936,3.5,md,17,86,0.1104,0.17,uw,uw10087568,2016-07-24T21:32:39.790Z,"Mount St. Helens area, Washington",earthquake,0.497,1.52,0.06,1,reviewed,uw,uw
1980-05-18T22:13:06.720Z,46.2006667,-122.1795,0.306,3.9,md,18,64,0.1031,0.26,uw,uw10087543,2016-07-24T21:32:39.130Z,"Mount St. Helens area, Washington",other event,0.085,0.16,0.1,1,reviewed,uw,uw
1980-05-18T22:11:58.840Z,46.1961667,-122.1928333,2.692,3.8,md,14,137,0.1154,0.12,uw,uw10087528,2016-07-24T21:32:38.850Z,"Mount St. Helens area, Washington",other event,0.718,1.34,0.15,1,reviewed,uw,uw
1980-05-18T22:05:57.580Z,46.2023333,-122.1956667,1.096,3.8,md,16,62,0.1032,1.43,uw,uw10087518,2016-07-24T21:32:38.590Z,"Mount St. Helens area, Washington",earthquake,4.581,17.15,0.18,1,reviewed,uw,uw
1980-05-18T22:00:43.100Z,46.2048333,-122.1811667,0.636,3.6,md,15,86,0.107,0.17,uw,uw10087488,2016-07-24T21:32:37.080Z,"Mount St. Helens area, Washington",earthquake,0.632,2.17,0.07,1,reviewed,uw,uw
1980-05-18T21:59:00.900Z,46.203,-122.1916667,1.846,4,md,16,82,0.1041,0.15,uw,uw10087473,2016-07-24T21:32:36.780Z,"Mount St. Helens area, Washington",earthquake,0.439,1.5,0.19,1,reviewed,uw,uw
1980-05-18T21:57:48.770Z,46.1985,-122.1848333,-0.844,3.7,md,17,84,0.1003,0.21,uw,uw10087463,2016-07-24T21:32:36.480Z,"Mount St. Helens area, Washington",earthquake,0.136,0.24,0.12,1,reviewed,uw,uw
1980-05-18T21:56:49.410Z,46.138,-122.2026667,-0.854,3.5,md,12,143,0.0387,0.58,uw,uw10087448,2016-07-24T21:32:36.190Z,"Mount St. Helens area, Washington",earthquake,0.68,0.77,0.14,1,reviewed,uw,uw
1980-05-18T21:54:40.980Z,46.2026667,-122.1761667,1.616,4,md,18,64,0.1055,0.11,uw,uw10087433,2016-07-24T21:32:35.850Z,"Mount St. Helens area, Washington",earthquake,0.378,2.12,0.15,1,reviewed,uw,uw
1980-05-18T21:52:14.150Z,46.205,-122.1875,2.436,4.1,md,16,87,0.1065,0.15,uw,uw10087418,2016-07-24T21:32:35.550Z,"Mount St. Helens area, Washington",earthquake,0.071,0.24,0.1,1,reviewed,uw,uw
1980-05-18T21:46:03.830Z,46.199,-122.203,1.946,3.6,md,18,79,0.09961,0.25,uw,uw10087393,2016-07-24T21:32:34.850Z,"Mount St. Helens area, Washington",earthquake,0.672,2.83,0.2,1,reviewed,uw,uw
1980-05-18T21:28:36.030Z,46.2,-122.1901667,2.936,3.7,md,21,63,0.1013,0.16,uw,uw10087373,2016-07-24T21:32:34.520Z,"Mount St. Helens area, Washington",earthquake,0.827,12.25,0.13,1,reviewed,uw,uw
1980-05-18T21:25:45.160Z,46.2051667,-122.1841667,2.296,3.6,md,19,63,0.107,0.18,uw,uw10087348,2016-07-24T21:32:34.210Z,"Mount St. Helens area, Washington",earthquake,0.539,2.25,0.14,1,reviewed,uw,uw
1980-05-18T21:24:29.530Z,46.2051667,-122.1825,2.596,2.6,md,16,86,0.1072,0.13,uw,uw10087333,2016-07-24T21:32:33.580Z,"Mount St. Helens area, Washington",other event,0.042,0.2,0.13,5,reviewed,uw,uw
1980-05-18T21:23:32.290Z,46.2013333,-122.191,1.906,3.7,md,18,82,0.1025,0.16,uw,uw10087298,2016-07-24T21:32:33.210Z,"Mount St. Helens area, Washington",earthquake,0.496,2,0.16,1,reviewed,uw,uw
1980-05-18T21:14:22.340Z,46.2061667,-122.1858333,2.556,3.6,md,15,85,0.1078,0.19,uw,uw10087278,2016-07-24T21:32:32.720Z,"Mount St. Helens area, Washington",earthquake,0.072,0.43,0.21,1,reviewed,uw,uw
1980-05-18T21:10:06.990Z,46.203,-122.1938333,2.316,4,md,19,62,0.104,0.21,uw,uw10087248,2016-07-24T21:32:32.370Z,"Mount St. Helens area, Washington",earthquake,0.532,1.72,0.16,1,reviewed,uw,uw
1980-05-18T21:07:11.570Z,46.2021667,-122.2103333,5.149,4.3,md,20,66,0.1028,0.13,uw,uw10087218,2016-07-24T21:32:32.020Z,"Mount St. Helens area, Washington",earthquake,1.302,3.34,0.17,1,reviewed,uw,uw
1980-05-18T21:02:33.190Z,46.2063333,-122.1885,1.966,3.7,md,13,62,0.1077,0.12,uw,uw10087213,2016-07-24T21:32:31.580Z,"Mount St. Helens area, Washington",earthquake,0.364,1.29,0.21,1,reviewed,uw,uw
1980-05-18T20:47:34.830Z,46.2033333,-122.1911667,1.346,3.5,md,18,83,0.1045,0.22,uw,uw10087153,2016-07-24T21:32:30.240Z,"Mount St. Helens area, Washington",earthquake,0.085,0.22,0.12,1,reviewed,uw,uw
1980-05-18T20:44:00.510Z,46.1991667,-122.1931667,1.196,3.7,md,18,81,0.1002,0.2,uw,uw10087128,2016-07-24T21:32:29.900Z,"Mount St. Helens area, Washington",earthquake,0.592,2.27,0.09,1,reviewed,uw,uw
1980-05-18T20:39:46.580Z,46.2076667,-122.1911667,2.126,2.7,md,19,83,0.1088,0.24,uw,uw10087118,2016-07-24T21:32:29.290Z,"Mount St. Helens area, Washington",earthquake,0.611,2,0.13,5,reviewed,uw,uw
