time,,,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,Name,Year,Month,Day,Eruption_Date,VEI,Lat_Eruption,Lon_Eruption,Lat_Dif,Lon_dif,Date_Dif
2002-08-19T15:03:23.600Z,8/19/2002,T15:03:23.600Z,37.697,14.967,5,2.8,md,9,,,,us,usp000ba7a,2014-11-07T01:16:17.840Z,"Sicily, Italy",earthquake,,,,,reviewed,rom,rom,Etna,2002,8,28,8/28/2002,3,37.734,15.004,0.037,0.037,9
2002-08-19T14:57:59.700Z,8/19/2002,T14:57:59.700Z,37.721,14.963,5,2.7,md,8,,,,us,usp000ba79,2014-11-07T01:16:17.839Z,"Sicily, Italy",earthquake,,,,,reviewed,rom,rom,Etna,2002,8,28,8/28/2002,3,37.734,15.004,0.013,0.041,9
2002-08-19T12:05:21.700Z,8/19/2002,T12:05:21.700Z,37.708,14.965,5,2.8,md,10,,,,us,usp000ba6s,2014-11-07T01:16:17.760Z,"Sicily, Italy",earthquake,,,,,reviewed,rom,rom,Etna,2002,8,28,8/28/2002,3,37.734,15.004,0.026,0.039,9
2002-08-13T05:29:43.300Z,8/13/2002,T05:29:43.300Z,37.842,14.667,5,3.2,md,18,,,,us,usp000b9t9,2014-11-07T01:16:15.481Z,"Sicily, Italy",earthquake,,,,,reviewed,rom,rom,Etna,2002,8,28,8/28/2002,3,37.734,15.004,0.108,0.337,15
2002-08-13T02:35:50.000Z,8/13/2002,T02:35:50.000Z,37.84,14.662,5,2.5,md,5,,,,us,usp000b9sy,2014-11-07T01:16:15.420Z,"Sicily, Italy",earthquake,,,,,reviewed,rom,rom,Etna,2002,8,28,8/28/2002,3,37.734,15.004,0.106,0.342,15
2002-08-13T02:30:20.600Z,8/13/2002,T02:30:20.600Z,37.829,14.656,5,3.4,md,24,,,,us,usp000b9sx,2014-11-07T01:16:15.416Z,"Sicily, Italy",earthquake,,,,,reviewed,rom,rom,Etna,2002,8,28,8/28/2002,3,37.734,15.004,0.095,0.348,15
2002-08-13T00:03:35.200Z,8/13/2002,T00:03:35.200Z,37.808,14.632,2.9,2.5,md,7,,,,us,usp000b9sq,2014-11-07T01:16:15.394Z,"Sicily, Italy",earthquake,,,,,reviewed,rom,rom,Etna,2002,8,28,8/28/2002,3,37.734,15.004,0.074,0.372,15
2002-07-29T01:54:17.100Z,7/29/2002,T01:54:17.100Z,38.136,15.159,22.4,2.6,md,4,,,,us,usp000b8yt,2014-11-07T01:16:07.418Z,"Sicily, Italy",earthquake,,,,,reviewed,rom,rom,Etna,2002,8,28,8/28/2002,3,37.734,15.004,0.402,0.155,30
2002-07-09T23:15:36.700Z,7/9/2002,T23:15:36.700Z,37.571,15.196,5,2.8,md,7,,,,us,usp000b7uf,2014-11-07T01:16:02.235Z,"Sicily, Italy",earthquake,,,,,reviewed,rom,rom,Etna,2002,8,28,8/28/2002,3,37.734,15.004,0.163,0.192,50
2002-07-09T04:46:07.800Z,7/9/2002,T04:46:07.800Z,37.598,15.055,5,3,md,12,,,,us,usp000b7sr,2014-11-07T01:16:02.040Z,"Sicily, Italy",earthquake,,,,,reviewed,rom,rom,Etna,2002,8,28,8/28/2002,3,37.734,15.004,0.136,0.051,50
2002-07-09T01:32:16.000Z,7/9/2002,T01:32:16.000Z,37.958,14.662,9.4,2.8,md,16,,,,us,usp000b7s9,2014-11-07T01:16:01.988Z,"Sicily, Italy",earthquake,,,,,reviewed,rom,rom,Etna,2002,8,28,8/28/2002,3,37.734,15.004,0.224,0.342,50
2002-07-07T23:37:40.500Z,7/7/2002,T23:37:40.500Z,37.606,15.088,5,2.7,md,8,,,,us,usp000b7q7,2014-11-07T01:16:01.723Z,"Sicily, Italy",earthquake,,,,,reviewed,rom,rom,Etna,2002,8,28,8/28/2002,3,37.734,15.004,0.128,0.084,52
2002-06-22T14:34:50.220Z,6/22/2002,T14:34:50.220Z,38.119,14.872,154.5,3.2,md,21,,,0.8,us,usp000b6qs,2014-11-07T01:15:52.611Z,"Sicily, Italy",earthquake,,5.2,,,reviewed,us,rom,Etna,2002,8,28,8/28/2002,3,37.734,15.004,0.385,0.132,67
2002-06-15T00:41:41.400Z,6/15/2002,T00:41:41.400Z,37.653,15.075,5,2.5,md,6,,,,us,usp000b66c,2014-11-07T01:15:50.104Z,"Sicily, Italy",earthquake,,,,,reviewed,rom,rom,Etna,2002,8,28,8/28/2002,3,37.734,15.004,0.081,0.071,74
2002-06-13T15:06:25.300Z,6/13/2002,T15:06:25.300Z,37.735,15.002,5,2.5,md,9,,,,us,usp000b63b,2014-11-07T01:15:49.656Z,"Sicily, Italy",earthquake,,,,,reviewed,rom,rom,Etna,2002,8,28,8/28/2002,3,37.734,15.004,0.001,0.002,76
2002-06-03T00:17:23.900Z,6/3/2002,T00:17:23.900Z,37.915,14.609,11.6,2.8,md,17,,,,us,usp000b5ew,2014-11-07T01:15:45.301Z,"Sicily, Italy",earthquake,,,,,reviewed,rom,rom,Etna,2002,8,28,8/28/2002,3,37.734,15.004,0.181,0.395,86
2011-12-10T07:41:33.120Z,12/10/2011,T07:41:33.120Z,0.951,127.413,52,4.3,mb,23,79,,0.99,us,usp000jc0x,2014-11-07T01:46:32.648Z,"Halmahera, Indonesia",earthquake,,14.1,,8,reviewed,us,us,Gamala,2011,12,27,12/27/2011,3,0.8,127.325,0.151,0.088,17
2011-11-12T22:10:32.810Z,11/12/2011,T22:10:32.810Z,1.071,127.177,138.8,4.5,mb,58,113.1,,0.76,us,usp000jarq,2014-11-07T01:46:20.348Z,"Halmahera, Indonesia",earthquake,,5.6,,17,reviewed,us,us,Gamala,2011,12,27,12/27/2011,3,0.8,127.325,0.271,0.148,45
1996-09-29T13:39:14.880Z,9/29/1996,T13:39:14.880Z,64.437,-17.761,10,4.4,mb,,,,1,us,usp0007qpu,2014-11-07T01:01:14.694Z,Iceland,earthquake,,,,26,reviewed,us,us,Grimsvotn,1996,9,30,9/30/1996,3,64.42,-17.33,0.017,0.431,1
1996-09-29T13:28:56.060Z,9/29/1996,T13:28:56.060Z,64.391,-17.905,10,4.2,mb,,,,1.41,us,usp0007qpt,2014-11-07T01:01:14.693Z,Iceland,earthquake,,,,6,reviewed,us,us,Grimsvotn,1996,9,30,9/30/1996,3,64.42,-17.33,0.029,0.575,1
1996-09-29T13:21:29.660Z,9/29/1996,T13:21:29.660Z,64.463,-17.866,10,4.1,mb,,,,1.22,us,usp0007qpr,2014-11-07T01:01:14.690Z,Iceland,earthquake,,,,8,reviewed,us,us,Grimsvotn,1996,9,30,9/30/1996,3,64.42,-17.33,0.043,0.536,1
1996-09-29T13:18:17.640Z,9/29/1996,T13:18:17.640Z,64.45,-18.087,10,4,mb,,,,0.69,us,usp0007qpq,2014-11-07T01:01:14.688Z,Iceland,earthquake,,,,5,reviewed,us,us,Grimsvotn,1996,9,30,9/30/1996,3,64.42,-17.33,0.03,0.757,1
1996-09-29T13:01:59.800Z,9/29/1996,T13:01:59.800Z,64.426,-17.929,10,4.1,mb,,,,0.86,us,usp0007qpn,2014-11-07T01:01:14.684Z,Iceland,earthquake,,,,4,reviewed,us,us,Grimsvotn,1996,9,30,9/30/1996,3,64.42,-17.33,0.006,0.599,1
1996-09-29T12:47:18.170Z,9/29/1996,T12:47:18.170Z,64.589,-17.849,10,4.3,mb,,,,1,us,usp0007qpm,2014-11-07T01:01:14.680Z,Iceland,earthquake,,,,26,reviewed,us,us,Grimsvotn,1996,9,30,9/30/1996,3,64.42,-17.33,0.169,0.519,1
1996-09-29T10:48:18.970Z,9/29/1996,T10:48:18.970Z,64.782,-17.566,10,5.6,mwc,,,,1.27,us,usp0007qpc,2016-11-09T23:36:10.928Z,Iceland,earthquake,,,,,reviewed,us,hrv,Grimsvotn,1996,9,30,9/30/1996,3,64.42,-17.33,0.362,0.236,1
