Year,Mo,Dy,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description
1950,08,28,Semeru,Java,Indonesia,-8.107999999999999,112.92,3676.0,Stratovolcano,1.0,P,6.0,1.0,,,,,,,,,6.0,1.0,,,,,,,,
1950,09,15,Camiguin,Mindanao-Philippines,Philippines,9.203,124.67299999999999,1332.0,Stratovolcano,3.0,P,68.0,2.0,,,,,,,,,68.0,2.0,,,,,,,,
1950,09,23,Asama,Honshu-Japan,Japan,36.4,138.53,2560.0,Complex volcano,2.0,T,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,,,,1.0
1951,01,21,Lamington,New Guinea,Papua New Guinea,-8.95,148.15,1680.0,Stratovolcano,4.0,P,2942.0,4.0,,,,2.0,,,,,2942.0,4.0,,,,2.0,,,,
1951,08,03,Cosiguina,Nicaragua,Nicaragua,12.98,-87.57,872.0,Stratovolcano,,,,,,,,,,,,,,,,,,,,3.0,,2.0
1951,08,31,Kelut,Java,Indonesia,-7.93,112.30799999999999,1731.0,Stratovolcano,3.0,,7.0,1.0,,,,,,,,,7.0,1.0,,,,,,,,
1951,11,05,Hakone,Honshu-Japan,Japan,35.22,139.02,1438.0,Complex volcano,,G,2.0,1.0,,,,,,,,,2.0,1.0,,,,,,,,
1951,12,04,Camiguin,Mindanao-Philippines,Philippines,9.203,124.67299999999999,1332.0,Stratovolcano,3.0,P,500.0,3.0,1500.0,4.0,,,,,,,500.0,3.0,1500.0,4.0,,,,,,
1952,03,27,Hakone,Honshu-Japan,Japan,35.22,139.02,1438.0,Complex volcano,,G,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1952,09,16,Myojun Knoll,Izu Is-Japan,Japan,32.1,139.85,360.0,Submarine volcano,2.0,,,,,,,,,,,,,,,,,,,,,
1952,09,23,Myojun Knoll,Izu Is-Japan,Japan,32.1,139.85,360.0,Submarine volcano,2.0,,,,,,,,,,,,,,,,,,,,,
1952,09,24,Myojun Knoll,Izu Is-Japan,Japan,32.1,139.85,360.0,Submarine volcano,2.0,P,31.0,1.0,,,,,,1.0,,,31.0,1.0,,,,,,1.0,,
1952,09,26,Myojun Knoll,Izu Is-Japan,Japan,32.1,139.85,360.0,Submarine volcano,2.0,,,,,,,,,,,,,,,,,,,,,
1953,03,11,Myojun Knoll,Izu Is-Japan,Japan,32.1,139.85,360.0,Submarine volcano,2.0,,,,,,,,,,,,,,,,,,,,,
1953,03,23,Merapi,Java,Indonesia,-7.542000000000001,110.44200000000001,2947.0,Stratovolcano,3.0,P,64.0,2.0,,,57.0,2.0,,2.0,144.0,3.0,64.0,2.0,,,57.0,2.0,,2.0,144.0,3.0
1953,03,25,Myojun Knoll,Izu Is-Japan,Japan,32.1,139.85,360.0,Submarine volcano,2.0,,,,,,,,,,,,,,,,,,,,,
1953,04,27,Aso,Kyushu-Japan,Japan,32.88,131.1,1592.0,Caldera,2.0,T,6.0,1.0,,,,,,,,,6.0,1.0,,,,,,,,
1953,06,27,St. Andrew Strait,Admiralty Is-SW Paci,Papua New Guinea,-2.38,147.35,270.0,Complex volcano,0.0,,,,,,,,,,,,,,,,,,,1.0,,
1953,07,26,Hakone,Honshu-Japan,Japan,35.22,139.02,1438.0,Complex volcano,,A,10.0,1.0,,,,,,,,,10.0,1.0,,,,,,,,
1953,10,05,Oshima,Izu Is-Japan,Japan,34.73,139.38,758.0,Stratovolcano,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1953,12,24,Ruapehu,New Zealand,New Zealand,-39.28,175.57,2797.0,Stratovolcano,,m,151.0,3.0,,,,,,,,,151.0,3.0,,,,,,,,
1954,07,21,Tate-yama,Honshu-Japan,Japan,36.57,137.6,2621.0,Stratovolcano,,G,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1954,08,03,Bam,New Guinea-NE of,Papua New Guinea,-3.6,144.85,685.0,Stratovolcano,2.0,I,,,,,,2.0,,,,,25.0,1.0,,,,2.0,,,,
1955,07,26,Carran-Los Venados,Chile-C,Chile,-40.35,-72.07,1114.0,Pyroclastic cone,4.0,G,2.0,1.0,,,,,,,,,2.0,1.0,,,,,,,,
1955,10,13,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117.0,Stratovolcano,3.0,,,1.0,,,,,,,,,,1.0,,,,,,,,
1956,03,30,Bezymianny,Kamchatka,Russia,55.978,160.58700000000002,2882.0,Stratovolcano,5.0,,,,,,,,,,,,,,,,,,,,,
1957,03,11,Vsevidof,Aleutian Is,United States,53.13,-168.68,2149.0,Stratovolcano,2.0,,,,,,,,,,,,,,,,,,,,,
1958,07,12,Mahawu,Sulawesi-Indonesia,Indonesia,1.358,124.85799999999999,1324.0,Stratovolcano,2.0,M,1.0,1.0,,,10.0,1.0,,,,,1.0,1.0,,,10.0,1.0,,,,
1958,07,21,Daisetsu,Hokkaido-Japan,Japan,43.68,142.88,2290.0,Stratovolcano,,G,2.0,1.0,,,,,,,,,2.0,1.0,,,,,,,,
1958,10,07,Kuwae,Vanuatu-SW Pacific,Vanuatu,-16.829,168.53599999999997,-2.0,Caldera,2.0,,,,,,,,,,,,,,,,,,,,,
1960,05,25,Puyehue,Chile-C,Chile,-40.59,-72.117,2236.0,Stratovolcano,3.0,,,,,,,,,,,,,,,,,,,,,
1961,01,25,Calbuco,Chile-S,Chile,-41.326,-72.61399999999999,2003.0,Stratovolcano,3.0,,,,,,,,,1.0,,,,,,,,,,,,
1961,04,23,Tate-yama,Honshu-Japan,Japan,36.57,137.6,2621.0,Stratovolcano,,G,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
